,season,episode_number,title,airdate,rating,total_votes,desc,series
158,4,6,Legacy,1994-05-11,6.8,2716,"The crew of the Enterprise enters into orbit around the home planet of their former crewmate, Tasha Yar, where they encounter her sister.",TNG
159,4,7,Reunion,1994-05-18,8.3,3141,"When the leader of the Klingon High Council passes on, Picard finds himself in the middle of the struggle for the now-vacant position. Meanwhile, Worf reunites with a past love, only to find he now has a son.",TNG
160,4,8,Future Imperfect,1994-05-25,7.8,3051,Riker awakens sixteen years after an away mission where he contracted a disease which destroyed his memory back to the point of infection - or so he's told.,TNG
161,4,9,Final Mission,1994-06-01,6.8,2729,"Before leaving for Starfleet Academy, Wesley Crusher accompanies Captain Picard on a dangerous mission.",TNG
162,4,10,The Loss,1994-06-08,6.0,2644,"As an unknown force drags the Enterprise, Deanna Troi struggles with the loss of her empathic abilities.",TNG
163,4,11,Data's Day,1994-06-15,8.2,3209,"Data tries to comprehend the complex emotions between O'Brien and Keiko, who are about to be married.",TNG
164,4,12,The Wounded,1994-09-07,8.1,3034,"After being fired upon by a Cardassian vessel, Picard races against time to find out the facts behind the Cardassian commander's claim that the Federation attacked one of their outposts.",TNG
165,4,13,Devil's Due,1994-09-14,7.2,2895,"While answering a distress call, Picard finds himself not sure of exactly who he is dealing with, but he's sure he's not dealing with the planet's version of the Devil, as she claims to be.",TNG
166,4,14,Clues,1994-09-21,8.2,3250,Effects of passing through a wormhole give the Enterprise crew a sense that they were unconscious for more than the thirty seconds they've been led to believe.,TNG
167,4,15,First Contact,1994-09-28,8.1,3124,"Disguised as an alien prior to First Contact, Will's life becomes imperiled when incurred injuries reveal his foreign internal structure to a xenophobic alien population.",TNG
168,4,16,Galaxy's Child,1994-10-05,7.0,2699,"As Geordi La Forge finally meets the real Dr. Leah Brahms, a tragic first contact leaves the Enterprise with a gigantic galactic infant suckling the ship's energy.",TNG
169,4,17,Night Terrors,1994-10-12,7.1,2725,"The Enterprise gets trapped in a Tyken's Rift, an energy-absorbing rupture in space, where all but Data, Troi and Guinan experience rising hallucinations and paranoia.",TNG
170,4,18,Identity Crisis,1994-10-19,6.7,2577,Lt. Commander Geordi La Forge and an old friend fight to defeat a parasite that is trying to transform them into another species.,TNG
171,4,19,The Nth Degree,1994-10-26,8.0,2962,"When assigned to investigate an unknown probe, Lt. Barclay is electrocuted through a shuttlecraft's computer, where he receives an unexplainable boost of confidence and a vast increase in his knowledge.",TNG
172,4,20,Qpid,1994-11-02,7.2,2869,"Aiming to get out of Jean-Luc's debt, Q forces Capt. Picard and his officers to live out the Legend of Robin Hood - with a past acquaintance as Maid Marian.",TNG
173,4,21,The Drumhead,1994-11-09,8.4,3467,A retired admiral boards the Enterprise in an effort to determine the actions aboard the ship surrounding an act of sabotage and possible treason.,TNG
174,4,22,Half a Life,1994-11-16,7.3,2777,"Counselor Troi's mother visits the Enterprise and becomes infatuated with a man whose culture forces him into a suicidal ritual called ""The Resolution.""",TNG
175,4,23,The Host,1994-11-23,6.5,2585,Dr. Crusher falls for someone who's not at all what she expects him to be.,TNG
176,4,24,The Mind's Eye,1994-11-30,7.7,2658,Geordi is brainwashed by the Romulans to start a war between the Klingons and the Federation,TNG
177,4,25,In Theory,1994-12-07,7.1,2638,"When a female crew member is infatuated with Lieutenant Commander Data, he decides to give a romantic relationship a try. Also, the Enterprise finds itself having to maneuver through a dangerous nebula.",TNG
178,4,26,Redemption,1994-12-14,8.4,2882,Both Captain Picard and Lt. Worf must decide where their priorities lie as the Klingon Empire descends into a bitter civil war.,TNG
179,5,1,Redemption II,1994-12-21,8.4,2914,"As Worf fights in the Klingon Civil War, Captain Picard and his crew must stop the Romulans from helping their pawns achieve victory.",TNG
180,5,2,Darmok,1994-12-28,8.7,4319,Picard must learn to communicate with a race that speaks in metaphor under a difficult set of circumstances.,TNG
181,5,3,Ensign Ro,1995-01-04,7.8,2851,"Captain Picard foils a plot against the Bajorans with his new Bajoran officer, Ensign Ro.",TNG
182,5,4,Silicon Avatar,1995-01-11,7.2,2643,"The Crystalline Entity returns, and the Enterprise takes aboard a scientist to help track it down, but her personal agenda does not match Capt. Picard's.",TNG
183,5,5,Disaster,1995-01-18,7.9,3029,Collision with a quantum filament leaves Troi in charge of a damaged and endangered Enterprise with emergency bulkheads cutting off sections of the ship.,TNG
184,5,6,The Game,1995-01-25,7.4,2984,Wesley Crusher returns to the Enterprise on vacation from the Academy only to discover a mysterious alien game infiltrating and controlling the crew.,TNG
185,5,7,Unification I,1995-02-01,8.2,2991,Picard and Data follow Spock into Romulan space on a dangerous mission.,TNG
186,5,8,Unification II,1995-02-08,8.3,2963,"On Romulus, Picard finds Spock, as well as an underground peace movement, a double agent, a bold ulterior motive against the Federation, and a familiar foe.",TNG
187,5,9,A Matter Of Time,1995-02-15,7.2,2642,"Reaching Penthara IV after an asteroid wreaks havoc of catastrophic proportions, the Enterprise crew deals with trying to save the planet as well as deal with someone who claims to be a historian from the future.",TNG
188,5,10,New Ground,1995-02-22,6.5,2420,"Geordi can barely curtail his enthusiasm at being able to test out a new theory of transportation, as Worf's mother boards the Enterprise with his son and news that Worf's Earthly parents can no longer care for him.",TNG
189,5,11,Hero Worship,1995-03-01,6.6,2521,"Data rescues an orphaned boy named Timothy from a damaged ship. As a way to repress his own pain, Timothy begins to mimic Data's personality.",TNG
190,5,12,Violations,1995-03-08,6.2,2409,"Transporting three Ullian mind-probing historians, the Enterprise crew is stymied when some of its members fall into a coma. Deanna Troi, the first crew member to come through it, cannot recall anything surrounding the incident.",TNG
191,5,13,The Masterpiece Society,1995-03-15,6.7,2474,"Working together to prevent the annihilation of a perfectly balanced, isolated society (with no contingency for outside visitors) may, in fact, destroy it.",TNG
192,5,14,Conundrum,1995-03-22,8.2,3002,"When an approaching alien ship wipes their memory, the crew struggles to put back together what happened.",TNG
193,5,15,Power Play,1995-03-29,7.3,2571,"A long-lost ship is found on a planet where cosmic storms prevented detection for 200 years. When a surface landing goes wrong, the away team is beamed back...with a few extra surprises.",TNG
194,5,16,Ethics,1995-04-05,7.2,2599,"After an accident that leaves him no longer able to walk, Worf asks Riker to help him commit suicide.",TNG
195,5,17,The Outcast,1995-04-12,6.8,2829,"While aiding an androgynous race who lost a couple of members in an unmapped region of space, Riker falls for one of them, which can lead to trouble if detected, since the alien race does not endorse gender specificity.",TNG
196,5,18,Cause And Effect,1995-04-19,8.9,4012,"The Enterprise gets caught in a time loop which always has one result: total destruction of the ship, itself.",TNG
197,5,19,The First Duty,1995-04-26,7.8,2807,"Wesley Crusher's team has an accident at Starfleet Academy. Picard offers to help a Starfleet investigation as to what happened, and begins to suspect they are hiding something.",TNG
198,5,20,Cost Of Living,1995-05-03,6.2,2419,"As undetectable parasites devour the ship, Deanna's mother arrives, taking young Alexander under her wing en route to meeting a man she's blindly agreed to marry.",TNG
199,5,21,The Perfect Mate,1995-05-10,7.3,2832,"Ferengi machinations unleash a diplomatic gift aboard the Enterprise - the rare, empathic perfect mate, ready to bond with any male around her.",TNG
200,5,22,Imaginary Friend,1995-05-17,6.0,2433,"A powerful, potentially dangerous energy life form, intent on scouting out the Enterprise, steps into the role of a girl's imaginary friend.",TNG
201,5,23,I Borg,1995-05-24,8.8,3627,"The Enterprise finds a lone Borg drone, separated from the collective, and brings him aboard. The drone begins to reassert his individuality, but his presence causes differing levels of fear and sympathy from various crew members.",TNG
202,5,24,The Next Phase,1995-05-31,8.3,2888,"A transporter malfunction, combined with a Romulan ship under stress and a damaged cloaking device, creates the illusion that Ensign Ro and Geordi are dead, but Geordi doesn't believe it to be so, and he acts accordingly.",TNG
203,5,25,The Inner Light,1995-06-07,9.4,6978,Picard awakes to find himself living in a small village where he is a well-known member of the community who is suffering from a delusion of being a starship captain.,TNG
204,5,26,Time's Arrow,1995-06-14,8.4,3069,Captain Picard and his archaeological curiosity are called upon by scientists from Earth when they find evidence to support beliefs that aliens had visited Earth in the late 1800s.,TNG
205,6,1,"Time's Arrow, Part II",1995-06-21,8.2,3055,"Captain Picard and crew follow Data back to the late 1800s to get him back, only to find the suspected alien visitors killing people of that time.",TNG
206,6,2,Realm Of Fear,1995-07-19,7.2,2497,"Overcoming his fear of transporter, Lt. Barclay joins an away team, only to find something in the beam with him.",TNG
207,6,3,Man Of The People,1995-07-26,5.7,2419,"When the Enterprise comes to the rescue of an ambassador and his ""mother"", Deanna finds herself attracted to him, and seeks to comfort him upon her death.",TNG
208,6,4,Relics,1995-08-02,8.5,3296,"The Enterprise stumbles upon a Dyson sphere, with a ship crashed on the outer surface. An away team finds some systems still powered up and the chief engineer from the old Enterprise, Montgomery Scott, locked in the transporter cycle.",TNG
209,6,5,Schisms,1995-08-09,7.5,2637,"Commander Riker's inability to fall asleep begins to show in other members of the crew in other forms, putting the Enterprise on the trail of a mystery.",TNG
210,6,6,True Q,1995-08-16,7.4,2655,"When an honor student in the medical field is assigned to the Enterprise in an internship manner, she begins to demonstrate powers of the Q, prompting you-know-who to show up.",TNG
211,6,7,Rascals,1995-08-23,7.3,2740,An emergency beam out renders four crewmen down to childhood shortly before renegade Ferengi take over the Enterprise and offload the adults.,TNG
212,6,8,A Fistful of Datas,1995-08-30,7.5,2690,"While the crew is experiencing some much needed down time, Worf and his son go on an Old West excursion in the holodeck, where they meet several versions of Data serving as the bad guy after an experiment in Engineering goes wrong.",TNG
213,6,9,The Quality of Life,1995-09-06,7.4,2465,"When Geordi is assigned to survey a new mining development with Dr. Farallon, who invented an experimental mining technology, she uses a new sophisticated robot called an Exocomp to repair a power grid.",TNG
214,6,10,"Chain Of Command, Part I",1995-09-13,8.3,3056,"Picard is replaced as captain of the Enterprise so he, Lt. Worf and Dr. Crusher go on a top-secret mission into Cardassian space. Meanwhile, his replacement, Captain Jellico, meets his new command with some resistance from the crew.",TNG
215,6,11,"Chain Of Command, Part II",1995-09-20,8.9,3360,"While the humorless Captain Jellico leads the effort to prevent a Cardassian invasion, Picard is captured and tortured by a ruthless interrogator in an attempt to break him.",TNG
216,6,12,Ship In A Bottle,1995-09-27,8.5,3070,"Lt. Barclay mistakenly awakes Moriarty in the forgotten holodeck program, who then makes his demands clear and unforgettable.",TNG
217,6,13,Aquiel,1995-10-04,6.0,2379,"Murderous intrigue abounds for the Enterprise when one of the crew aboard a subspace station is believed dead, and suspected to have taken part in it until the Klingons show up with the young lieutenant, to Geordi's taste.",TNG
218,6,14,Face Of The Enemy,1995-10-11,8.0,2715,"Deanna awakes to find herself altered to look like a Romulan, immediately unaware she's involved in a cat-and-mouse game as a member of their intelligence agency.",TNG
219,6,15,Tapestry,1995-10-18,8.8,3644,"When Captain Picard's artificial heart fails, he is offered the rare opportunity to go back in time and set right the mistake that led to his demise.",TNG
220,6,16,"Birthright, Part I",1995-10-25,7.6,2477,"While visiting Deep Space 9, a Yridian tells Worf his father lives, and a discharge from an alien device puts Data in a dream state where he meets his own father.",TNG
221,6,17,"Birthright, Part II",1995-11-01,7.3,2456,"In seeking his father, Worf discovers a prisoner-of-war camp that has evolved into a Klingon/Romulan haven - an Eden where Worf becomes their serpent.",TNG
222,6,18,Starship Mine,1995-11-08,7.9,2739,"When the Enterprise puts in to space dock for an energy sweep of the ship which is lethal to humans, Picard gets trapped on board with technicians who are not what they appear to be.",TNG
223,6,19,Lessons,1995-11-15,7.5,2693,"Picard falls for the new head of the stellar science services department, but has feelings of misgivings when he's forced to assign her to a dangerous mission.",TNG
224,6,20,The Chase,1995-11-22,8.0,2846,The crew of the Enterprise must race against various rival powers to uncover an archaeological secret that explains the predominance of humanoid life forms in the galaxy.,TNG
225,6,21,Frame of Mind,1995-11-29,8.1,2870,Riker begins to question reality when he finds himself in an alien insane asylum and faces the prospect his life on the Enterprise has been a delusion.,TNG
226,6,22,Suspicions,1995-12-06,7.0,2352,Dr. Crusher puts her career on the line to prove a scientist's theoretical new shielding technology which may have cost him his life.,TNG
227,6,23,Rightful Heir,1995-12-13,7.2,2268,"During Worf's crisis of faith on Boreth, Kahless the Unforgettable makes his promised legendary return, but Klingon leader Gowron challenges his authenticity.",TNG
228,6,24,Second Chances,1995-12-20,7.6,2460,Riker's exact duplicate is discovered on Nervala IV. His first order of business: resume his relationship with Deanna. Second order: obey orders from his superior - himself.,TNG
229,6,25,Timescape,1995-12-27,8.5,2842,"Aboard a shuttlecraft and en route back to the Enterprise, Picard, LaForge, Data, and Troi find themselves trapped in a time trap of some sort, where the Enterprise is being taken over by Romulans, and the ship, itself, on a course of destruction.",TNG
230,6,26,Descent,1996-01-03,8.1,2588,"After an encounter with the Borg, Data feels his first emotion when he gets angry with the Borg. Data then tries to find ways to recreate the situation in order to feel emotions again, whilst the Enterprise investigates the Borg activity, and are bewildered as to why they feel emotions too.",TNG
231,7,1,"Descent, Part II",1996-01-10,7.8,2628,"Before Lore can run risky experiments on Geordi, Troi and Picard, the three seek a way to re-boot Data's ethical program that Lore switched off to pull Data to his side.",TNG
232,7,2,Liaisons,1996-01-17,6.6,2294,"On a diplomatic mission, Worf, Troi and the Captain deal with three aliens who explore foreign concepts with extreme, singular focus.",TNG
233,7,3,Interface,1996-01-24,6.3,2221,Geordi is distracted by the news of the possible loss of his mother while he uses a new remote probe technology to search for a downed spacecraft.,TNG
234,7,4,"Gambit, Part I",1996-01-31,7.8,2539,"While investigating the apparent death of Capt. Picard, Riker is abducted by a group of intergalactic archaeological thieves, only to find Picard has apparently joined their ranks.",TNG
235,7,5,"Gambit, Part II",1996-02-07,7.9,2534,Riker and Picard must find out why this intergalactic gang is looting archaeological sites.,TNG
236,7,6,Phantasms,1996-02-14,7.6,2480,Data deals with his new ability to experience nightmares as the Enterprise deals with the installation of a new warp core that won't work as expected.,TNG
237,7,7,Dark Page,1996-02-21,6.4,2444,"While establishing diplomatic relations with an alien race called the Cairn, Deanna's mother experiences a mental breakdown and falls into a coma, and it seems like Deanna is the only one who is able to help her, even if her mother doesn't want it.",TNG
238,7,8,Attached,1996-02-28,7.5,2410,"Captain Picard and Dr. Crusher discover things about one another when they are captured by an opposing alien race, due to the fact that the Enterprise has come to allow the planet's other civilization the choice of being part of the Federation.",TNG
239,7,9,Force of Nature,1996-03-06,6.4,2317,"While searching for a missing Federation medical transport, the Enterprise is accosted by two scientists from a nearby planet who claim that cumulative exposure to warp energy is weakening the fabric of space.",TNG
240,7,10,Inheritance,1996-03-13,7.5,2415,"On Federation planet Atrea IV, Data encounters the former wife of his creator Noonian Soong who claims to be his ""mother"".",TNG
241,7,11,Parallels,1996-03-20,8.8,3219,"On his return from a bat'leth competition in the Klingon Empire, Worf finds himself shifting realities where events and details are in a constant state of flux and only he is aware of the changes.",TNG
242,7,12,The Pegasus,1996-03-27,8.5,2856,"Riker finds out his former commander from the starship Pegasus has orders that entail more than what is revealed to Picard, who thinks the Enterprise is en route to recover the lost ship. And Riker is ordered to secrecy.",TNG
243,7,13,Homeward,1996-04-03,7.1,2313,"In an attempt to preserve a race of people on a planet being bombarded by storms that would kill them, Worf's foster brother violates the Prime Directive, leaving the Enterprise crew in a difficult position.",TNG
244,7,14,Sub Rosa,1996-04-10,4.8,2740,"Dr. Crusher meets the man in her dead grandmother's life when she tries to put her affairs in order, whom one of the local people warn her to stay away from by not lighting a candle that has been lit for generations.",TNG
245,7,15,Lower Decks,1996-04-17,8.7,3443,"A mission of the Enterprise is seen through the eyes of some junior officers who are up for promotions, as questions of duty and honor arise among some of them, such as a Bajoran whom Worf has designated to be promoted to operations.",TNG
246,7,16,Thine Own Self,1996-04-24,7.8,2553,"Data is sent to follow a probe that has drifted off course and crashed on a primitive planet, only to crash on the planet himself, with no memory of any event prior to crashing on the planet's surface.",TNG
247,7,17,Masks,1996-05-01,5.8,2524,"Investigating a rogue comet that's been traveling throughout the universe for over 87 million years, Picard discovers alien beings within the comet, which infest the computer systems on the Enterprise, as well as Data.",TNG
248,7,18,Eye of the Beholder,1996-05-08,6.6,2251,"As a young lieutenant aboard the Enterprise commits suicide, his shipmates deal with the loss and Deanna deals with feelings surrounding her as she and Worf begin to form a relationship.",TNG
249,7,19,Genesis,1996-05-15,7.0,2538,"When a new torpedo guidance system malfunctions, Picard and Data go chasing after it into an asteroid field, while the crew is left behind to deal with their own strange behaviors.",TNG
250,7,20,Journey's End,1996-05-22,6.3,2393,"After the Federation grants access by the Cardassians to a planet already inhabited by Native American Indians, Picard has the daunting task of relocating them.",TNG
251,7,21,Firstborn,1996-05-29,6.8,2164,"In an effort to help him accept his Klingon heritage, Worf and his son, Alexander, attend an ancient Klingon ceremony.",TNG
252,7,22,Bloodlines,1996-06-05,6.5,2115,Picard races the Ferengi in an effort to track down the son he never knew he had.,TNG
253,7,23,Emergence,1996-06-12,6.5,2167,Strange images begin appearing throughout the ship's decks and holodecks. Data and the rest of the crew begin to investigate only to discover that the ship's computer itself is exhibiting the strange behavior as it begins to become self-aware.,TNG
254,7,24,Preemptive Strike,1996-06-17,7.9,2378,"Following her return from Advanced Tactical Training, Bajoran Ro Laren is sent to infiltrate the Maquis and finds herself torn between her loyalty to Picard and Starfleet, and her sympathy with the Maquis fighting ""the good fight"".",TNG
255,7,25,"Star Trek: The Next Generation-All Good Things, Part I",1996-06-19,9.0,8482,"Capt. Picard finds himself shifting continually into the past, future and present and must use that to discover a threat to humanity's existence.",TNG
256,1,1,Emissary,1995-09-28,7.5,4047,"When the troubled Commander Sisko takes command of a surrendered space station, he learns that it borders a unique stable wormhole.",DS9
257,1,2,Past Prologue,1995-10-12,7.1,2242,"Tahna Los, a former Bajoran terrorist during the Occupation, asks Sisko for asylum on DS9. Meanwhile, the station's last Cardassian inhabitant, Garak, possibly a former spy for the Cardassian government, proves an interesting mystery to Dr. Bashir.",DS9
258,1,3,A Man Alone,1995-10-05,6.8,2170,"Ibudan, a criminal Odo has dealt with before, returns to DS9 only to be murdered shortly after - leaving Odo to be the prime suspect. Jake and Nog's trouble-making prompt Keiko to do something helpful for the station's children.",DS9
259,1,4,Babel,1995-10-19,7.0,2133,"The crew and civilian population of Deep Space Nine begin to speak gibberish when a plague - an 'aphasia virus' - engineered by the Bajorans as a weapon against the Cardassians, accidentally gets released into the station's atmosphere.",DS9
260,1,5,Captive Pursuit,1995-10-26,7.6,2195,For the first time an alien comes from the other side of the wormhole. He has ship trouble and seems very reluctant to accept any help. Chief O'Brien quickly finds out he has a secret.,DS9
261,1,6,Q-Less,1995-11-02,6.7,2132,"Q, the Enterprise-D's consistent omnipotent annoyance, comes to harass the DS9 crew when his traveling companion, Vash, refuses to travel with Q any longer.",DS9
262,1,7,Dax,1995-11-09,7.1,2076,"Jadzia Dax is accused of a murder that her previous host, Curzon, supposedly committed.",DS9
263,1,8,The Passenger,1995-11-16,6.4,1964,"Rao Vantika, a captured criminal, is badly burned and dies in Bashir's arms but the criminal's captor believes that he is still alive.",DS9
264,1,9,Move along Home,1995-11-23,5.8,2150,"The Wadi from the Gamma Quadrant visit DS9, thereby making first contact with the Federation. When they catch Quark cheating, they let him off by playing a special game.",DS9
265,1,10,The Nagus,1995-11-30,7.0,1977,"The Ferengi leader, Grand Nagus Zek, comes to the station. He seems very interested in Quark's bar.",DS9
266,1,11,Vortex,1995-12-07,7.0,1945,"A man named Croden tells Odo he can take him to a place where aliens much like Odo himself exist, which would help Odo find out where he truly comes from.",DS9
267,1,12,Battle Lines,1995-12-14,6.6,1930,"After showing Bajoran spiritual leader Kai Opaka the wormhole, she, Sisko, Bashir and Kira crash land on a moon. Kai Opaka dies and the three meet the unfriendly locals.",DS9
268,1,13,The Storyteller,1995-12-21,6.0,1949,"While Sisko tries to negotiate an agreement between two Bajoran factions, he orders O'Brien to escort Bashir to investigate an emergency that endangers a village.",DS9
269,1,14,Progress,1995-12-28,6.8,1934,Kira must convince an old Bajoran farmer to leave a moon becoming uninhabitable due to mining operations. Jake and Nog try to trade off Cardassian yamok sauce.,DS9
270,1,15,If Wishes Were Horses,1996-01-04,6.5,1893,"While Dax investigates an unusual energy reading near DS9 to see if it's dangerous for the station, people's imaginations suddenly come alive, causing chaos.",DS9
271,1,16,The Forsaken,1996-01-11,6.9,1847,"Lwaxana Troi comes for a political visit and instead hounds Odo for romantic attention. Meanwhile, an alien probe wreaks havoc with the station's computer, leaving Odo and Lwaxana trapped together.",DS9
272,1,17,Dramatis Personae,1996-01-18,7.0,1840,"The entire station's command staff, save Odo, become power hungry and vie to defeat each other by forming secret alliances and plotting assassinations. Odo tries to figure out the cause of this mysterious behavior.",DS9
273,1,18,Duet,1996-01-25,9.0,3048,"A Cardassian suffering from Kalla-Nohra, a disease that indicates he served in a labor camp, visits DS9. Kira is determined to convict him as a war criminal.",DS9
274,1,19,In the Hands of the Prophets,1996-02-01,7.7,1977,"Vedek Winn, a candidate in the race for the open Kai position, stirs up trouble on DS9 when she attempts to boycott Keiko's school for not teaching Bajoran religious beliefs.",DS9
275,2,1,The Homecoming,1996-02-08,7.6,1944,"Word that a previously thought dead Bajoran resistance legend is still alive sends Kira and Chief O'Brien to Cardassia IV to rescue him; meanwhile ""The Circle"", a sect of the Bajoran provisional government that is intent on wiping out alien influence, is sneaking into power.",DS9
276,2,2,The Circle,1996-02-15,7.6,1920,Kira spends time with Vedek Bareil on Bajor just as the Circle begins receiving arms from an unknown source.,DS9
277,2,3,The Siege,1996-02-22,7.8,1928,"As a Circle-led Bajoran military attempts to occupy the station, a skeleton crew, led by Sisko fight to reveal the Circle's secret before they're forced to evacuate themselves. Meanwhile, Kira and Dax lead a mission to reveal the truth about the Circle, on Bajor.",DS9
278,2,4,Invasive Procedures,1996-02-29,6.9,1844,"A jealous Trill, who had waited his entire life to receive a symbiont but never did, decides to steal Dax's.",DS9
279,2,5,Cardassians,1996-03-07,7.5,1903,Political tensions rise on DS9 when Bajorans board the station with a supposedly orphaned Cardassian whom they have adopted.,DS9
280,2,6,Melora,1996-03-14,6.4,1875,"Melora Pazlar, a new arrival on DS9 with a special gravity-based disability, finds an admirer in Bashir. Meanwhile, an old associate of Quark's comes to the station to kill the bartender.",DS9
281,2,7,Rules of Acquisition,1996-03-21,7.4,1903,"A female Ferengi named Pel, posing as a male so that she can engage in business, falls for Quark during very important negotiations between the Ferengi and a Gamma Quadrant race.",DS9
282,2,8,Necessary Evil,1996-03-27,8.1,2033,"Odo relives some terrible and tragic memories of a past investigation when he was the constable on Cardassian-occupied Deep Space Nine, then named Terok Nor.",DS9
283,2,9,Second Sight,1996-04-04,6.2,1800,"While noted scientist Gideon Seyetik is preparing for an ambitious project, re-igniting a star, Sisko is intrigued by a woman who keeps disappearing.",DS9
284,2,10,Sanctuary,1996-04-11,6.5,1808,"A race that has been conquered twice over, one of the conquerors being the mysterious Dominion, comes to the station seeking aid and a new home.",DS9
285,2,11,Rivals,1996-04-18,6.5,1742,"Quark meets his match when a new rival opens a casino opposite his bar on the Promenade. Meanwhile, the station is suffering issues of high improbability.",DS9
286,2,12,The Alternate,1996-04-25,6.7,1739,Odo and his mentor Dr. Mora Pol discover a lifeform similar to Odo on a Gamma Quadrant planet.,DS9
287,2,13,Armageddon Game,1996-05-02,7.4,1801,"Chief O'Brien, who still doesn't particularly like Doctor Bashir, must rely on him when the two are stranded on a planet and O'Brien is infected with a deadly, fast moving disease.",DS9
288,2,14,Whispers,1996-05-09,8.1,2067,Chief O'Brien's world is turned upside down when for no reason whatsoever he is being ignored by his family and friends and is being closed out of every essential job on the station.,DS9
289,2,15,Paradise,1996-05-16,6.6,1908,Sisko and Chief O'Brien discover a colony which lives without technology.,DS9
290,2,16,Shadowplay,1996-05-23,7.3,1811,"Odo and Dax investigate the mysterious disappearance of people from a village. Kira tries to keep a close eye on Quark, while Vedek Bareil unexpectedly visits.",DS9
291,2,17,Playing God,1996-05-30,6.4,1699,"A Trill named Arjin comes to DS9 to learn what it is to be a Trill with a symbiont but finds his teacher, Dax, to be less than he expected.",DS9
292,2,18,Profit and Loss,1996-08-29,7.2,1756,"A Cardassian woman named Natima Lang, who was once a flame of Quark's, visits the station under dubious circumstances.",DS9
293,2,19,Blood Oath,1996-09-05,7.9,2016,Three legendary Klingons come to DS9 to see if Jadzia will participate in a blood oath that they made with Dax's previous host Curzon.,DS9
294,2,20,"The Maquis, Part I",1996-09-12,7.8,1821,"The destruction of a Cardassian ship leads Sisko, Dukat, and Sisko's old friend Cal Hudson to the fact that there is an unofficial war between the Maquis and the Cardassians.",DS9
295,2,21,"The Maquis, Part II",1996-09-19,7.8,1793,"Sisko tries to resolve the Maquis crisis by preventing a war, freeing Gul Dukat and offering the defected Hudson the chance to return.",DS9
296,2,22,The Wire,1996-09-26,8.2,1947,"Dr. Bashir fights to save Garak's life when a device implanted in his brain, designed to alleviate pain in the event of torture, begins to malfunction and is slowly killing him.",DS9
297,2,23,Crossover,1996-10-03,7.9,1901,Kira and Bashir find themselves in an alternate universe.,DS9
298,2,24,The Collaborator,1996-10-10,7.0,1671,"Vedek Bareil's targeted by fellow Kai candidate, Vedek Winn as having been a collaborator with the Cardassians during the Occupation.",DS9
299,2,25,Tribunal,1996-10-17,7.5,1738,Chief O'Brien goes through the horrific Cardassian judicial system when he is charged for an unknown crime.,DS9
300,2,26,The Jem'Hadar,1996-10-24,8.4,1956,"While in the Gamma Quadrant, Sisko, Quark and a strange telepathic woman are captured by the Jem'Hadar, the soldiers of the Dominion.",DS9
301,3,1,"The Search, Part I",1996-10-31,8.3,1965,"Instead of waiting for the Jem'Hadar to attack, Sisko wants to try a different tactic; he wants to take a new class starship to try to find the Founders.",DS9
302,3,2,"The Search, Part II",1996-11-07,8.2,1922,Odo has found his home and is introduced. Meanwhile Sisko finds out peace talks between the Dominion and the Federation have already started.,DS9
303,3,3,The House of Quark,1996-11-14,8.0,1994,"Quark is forced to marry a Klingon widow after he takes credit for the accidental death of her husband, the head of a powerful Klingon House.",DS9
304,3,4,Equilibrium,1996-11-21,6.7,1712,"The Trill homeworld is the setting, as Sisko and Bashir take Jadzia home for treatment when she begins experiencing hallucinations after playing a tune she can't recall.",DS9
305,3,5,Second Skin,1996-11-28,7.9,1874,Kira finds herself on Cardassia as a Cardassian. She is told she is called Iliana Ghemor and was a Cardassian spy.,DS9
306,3,6,The Abandoned,1996-12-05,6.9,1697,"Odo tries to change the nature of a rapidly maturing Jem'Hadar infant, Quark finds, whilst Sisko tries to break his son's relationship with a 20 year old Dabo girl.",DS9
307,3,7,Civil Defense,1996-12-12,7.9,1901,The station goes into lockdown and the crew is endangered when an old Cardassian security program is accidentally activated.,DS9
308,3,8,Meridian,1996-12-19,5.6,1790,"Dax falls in love with one of the residents of a multi-dimensional planet, while on DS9 an alien requests a holosuite program of Kira from Quark.",DS9
309,3,9,Defiant,1997-01-02,8.0,1924,Riker arrives on the station to requisition the Defiant in order to fight with the Maquis. Sisko assists Gul Dukat on Cardassia Prime to prevent the ship from entering Cardassian territory.,DS9
310,3,10,Fascination,1997-01-09,6.2,1743,"When Lwaxana Troi visits the station for the Bajoran Gratitude Festival, the crew is stricken with intense romantic attractions to one another.",DS9
311,3,11,"Past Tense, Part I",1997-01-16,7.8,1972,"Sisko, Bashir and Dax are accidentally sent to San Francisco in the 21st century due to a transporter malfunction, and must figure out how to get back to return without changing the time line.",DS9
312,3,12,"Past Tense, Part II",1995-01-09,7.9,1939,Sisko is forced to take the place of a key historical figure on Earth in 2024 in order to preserve the timeline.,DS9
313,3,13,Life Support,1997-01-23,6.6,1672,Dr. Bashir must use extraordinary measures to prolong Vedek Bareil's life long enough to allow Bareil to complete sensitive peace negotiations between the Bajorans and the Cardassians.,DS9
314,3,14,Heart of Stone,1997-01-30,7.3,1727,"After chasing a fugitive into a cave, Kira gets stuck and is slowly encapsulated by a growing crystal stone while Odo tries to figure out how to free her.",DS9
