,season,episode_number,title,airdate,rating,total_votes,desc,series
38,2,9,Metamorphosis,1970-05-11,7.3,3031,"While returning to the Enterprise aboard the shuttlecraft, Kirk, Spock, McCoy and a seriously ill Federation diplomat find themselves kidnapped by an energized cloud.",TOS
39,2,10,Journey to Babel,1970-06-22,8.5,3348,"The Enterprise hosts a number of quarrelling diplomats, including Spock's father, but someone on board has murder in mind.",TOS
40,2,11,Friday's Child,1970-10-14,6.8,2838,The Federation clashes with the Klingon Empire over mining rights to Capella IV. A sudden coup between its warrior-minded inhabitants forces Kirk's party to flee with the now dead leader's pregnant wife.,TOS
41,2,12,The Deadly Years,1970-06-29,7.3,2855,A landing party from the Enterprise is exposed to strange form of radiation which rapidly ages them.,TOS
42,2,13,Obsession,1970-07-13,7.2,2744,Capt. Kirk obsessively hunts for a mysterious cloud creature he encountered in his youth.,TOS
43,2,14,Wolf in the Fold,1970-05-18,7.2,2792,Kirk and the Enterprise computer become detectives after Scotty is accused of murdering women on a pleasure planet.,TOS
44,2,15,The Trouble with Tribbles,1970-06-01,8.8,4164,"To protect a space station with a vital grain shipment, Kirk must deal with Federation bureaucrats, a Klingon battle cruiser and a peddler who sells furry, purring, hungry little creatures as pets.",TOS
45,2,16,The Gamesters of Triskelion,1970-11-18,6.9,2918,"Kirk, Uhura and Chekov are trapped on a planet where abducted aliens are enslaved and trained to perform as gladiators for the amusement of bored, faceless aliens.",TOS
46,2,17,A Piece of the Action,1970-09-07,7.7,3185,The crew of the Enterprise struggles to cope with a planet of imitative people who have modeled their society on 1920s gangsters.,TOS
47,2,18,The Immunity Syndrome,1970-08-10,7.5,2752,The Enterprise encounters a gigantic energy draining space organism that threatens the galaxy.,TOS
48,2,19,A Private Little War,1970-07-06,6.8,2734,"Peaceful, primitive peoples get caught up in the struggle between superpowers, with Kirk unhappily trying to restore the balance of power disrupted by the Klingons.",TOS
49,2,20,Return to Tomorrow,1970-08-17,7.5,2761,"The Enterprise is guided to a distant, long-dead world where survivors of an extremely ancient race - existing only as disembodied energy - desiring the bodies of Kirk, Spock and astro-biologist Ann Mulhall so that they may live again.",TOS
50,2,21,Patterns of Force,1970-08-03,7.5,2886,"Looking for a missing Federation cultural observer, Kirk and Spock find themselves on a planet whose culture has been completely patterned after Nazi Germany.",TOS
51,2,22,By Any Other Name,1970-07-20,7.5,2840,Galactic alien scouts capture the Enterprise for a return voyage and a prelude to invasion. Kirk's one advantage - they're not used to their adopted human form.,TOS
52,2,23,The Omega Glory,1970-08-24,6.1,2869,"Responding to a distress signal, Kirk finds Captain Tracey of the U.S.S. Exeter violating the prime directive and interfering with a war between the Yangs and the Kohms to find the secret of their longevity.",TOS
53,2,24,The Ultimate Computer,1970-10-07,8.0,2899,"Kirk and a sub-skeleton crew are ordered to test out an advanced artificially intelligent control system - the M-5 Multitronic system, which could potentially render them all redundant.",TOS
54,2,25,Bread and Circuses,1970-06-08,7.1,2737,The Enterprise crew investigates the disappearance of a ship's crew on a planet that is a modern version of the Roman Empire.,TOS
55,2,26,Assignment: Earth,1970-11-04,7.5,3069,"While back in time observing Earth in 1968, the Enterprise crew encounters the mysterious Gary Seven who has his own agenda on the planet.",TOS
56,3,1,Spock's Brain,1971-10-13,5.6,3032,The crew of the Enterprise pursues a mysterious woman who has abducted Spock's brain.,TOS
57,3,2,The Enterprise Incident,1971-09-29,8.4,3242,An apparently insane Capt. Kirk has the Enterprise deliberately enter the Romulan Neutral Zone where the ship is immediately captured by the enemy.,TOS
58,3,3,The Paradise Syndrome,1971-01-06,6.7,2711,"Trapped on a planet whose inhabitants are descended from Northwestern Native Americans, Kirk loses his memory and is proclaimed a God while the crippled Enterprise races back to the planet before it is destroyed by an asteroid.",TOS
59,3,4,And the Children Shall Lead,1971-10-06,5.2,2847,The Enterprise reaches a Federation colony where the adults have all killed themselves but the children play without care.,TOS
60,3,5,Is There in Truth No Beauty?,1971-10-20,6.9,2676,"Lovely telepath Miranda is aide to Ambassador Kollos, in a box to stop insanity when humans see Medusans. She rejects Larry, a designer of Enterprise, and senses murderous intent nearby.",TOS
61,3,6,Spectre of the Gun,1971-09-15,7.2,2826,"As punishment for ignoring their warning and trespassing on their planet, the Melkot condemn Capt. Kirk and his landing party to the losing side of a surreal recreation of the 1881 historic gunfight at the OK Corral.",TOS
62,3,7,Day of the Dove,1971-01-31,7.8,2821,Both humans and Klingons have been lured to a planet by a formless entity that feeds on hatred and has set about to fashion them into a permanent food supply for itself.,TOS
63,3,8,For the World Is Hollow and I Have Touched the Sky,1971-10-27,7.1,2604,The Enterprise discovers an apparent asteroid that is on a collision course with a planet is actually an ancient populated generation ship.,TOS
64,3,9,The Tholian Web,1971-12-01,8.0,2858,"With Capt. Kirk and the derelict USS Defiant apparently lost, the Enterprise grapples with an insanity causing plague and an attack by the Tholians.",TOS
65,3,10,Plato's Stepchildren,1993-12-22,6.5,2721,"After Dr. McCoy helps the leader of a planet populated by people with powerful psionic abilities, they decide to force him to stay by torturing his comrades until he submits.",TOS
66,3,11,Wink of an Eye,1971-02-03,7.3,2626,A group of aliens who exist in a state of incredible acceleration invade the Enterprise and abduct Capt. Kirk.,TOS
67,3,12,The Empath,1994-01-05,6.5,2637,"Trapped in an alien laboratory, Kirk, Spock and McCoy meet an empath and are involved in a series of experiments.",TOS
68,3,13,Elaan of Troyius,1971-09-22,7.1,2626,"While transporting an arrogant, demanding princess for a political marriage, Captain Kirk must cope both with her biochemical ability to force him to love her, as well as sabotage on his ship.",TOS
69,3,14,Whom Gods Destroy,1994-01-19,6.9,2566,"Kirk and Spock are taken prisoners by a former starship captain named Garth, who now resides at, and has taken over, a high security asylum for the criminally insane.",TOS
70,3,15,Let That Be Your Last Battlefield,1971-02-27,7.1,2721,The Enterprise encounters two duo-chromatic and mutually belligerent aliens who put the ship in the middle of their old conflict.,TOS
71,3,16,The Mark of Gideon,1971-11-10,6.5,2513,Kirk beams down to the planet Gideon and appears to find himself trapped on a deserted Enterprise. Spock on the real Enterprise must use his diplomatic skills to deal with the uncooperative inhabitants of Gideon and find the Captain.,TOS
72,3,17,That Which Survives,1971-11-03,6.5,2449,"After the Enterprise landing party beams down to investigate a geologically interesting planet, their ship is hurled across the galaxy. Kirk and company find a deserted outpost guarded by the deadly image of a beautiful woman.",TOS
73,3,18,The Lights of Zetar,1971-11-17,6.2,2385,"A mysterious, twinkling mass of sapient energy ravages an important archive and Scotty's new girlfriend may be linked to it.",TOS
74,3,19,Requiem for Methuselah,1970-12-30,7.3,2726,"On a planet, looking for an urgent medicinal cure, Kirk, Spock and McCoy come across a dignified recluse living privately but in splendor with his sheltered ward and a very protective robot servant.",TOS
75,3,20,The Way to Eden,1971-01-20,5.4,2821,"A group of idealistic hippies, led by an irrational leader, come aboard the U.S.S. Enterprise.",TOS
76,3,21,The Cloud Minders,1971-02-10,7.0,2517,Kirk and Spock are caught up in a revolution on a planet where intellectuals and artists live on a utopian city in the sky while the rest of the population toils in mines on the barren surface below.,TOS
77,3,22,The Savage Curtain,1971-11-24,6.6,2558,"Kirk, Spock, Abraham Lincoln and Vulcan legend Surak are pitted in battle against notorious villains from history for the purpose of helping a conscious rock creature's understanding of a concept he does not understand, ""good vs. evil"".",TOS
78,3,23,All Our Yesterdays,1971-12-08,8.2,2795,"When Kirk, Spock and McCoy investigate the disappearance of a doomed planet's population, they find themselves trapped in different periods of that world's past.",TOS
79,3,24,Turnabout Intruder,1971-12-15,6.9,2469,Captain Kirk's insane ex-lover Dr. Janice Lester forcibly switches bodies with him in order to take command of the Enterprise.,TOS
80,1,1,Encounter at Farpoint,1990-09-26,6.9,6465,"On the maiden mission of the U.S.S. Enterprise (NCC-1701-D), an omnipotent being known as Q challenges the crew to discover the secret of a mysterious base in an advanced and civilized fashion.",TNG
81,1,2,The Naked Now,1990-10-03,6.5,3971,The crew of the Enterprise is infected with a virus that causes them to behave as though they were intoxicated.,TNG
82,1,3,Code of Honor,1990-10-10,5.2,3874,"When the leader of an alien culture takes a romantic interest in Lt. Yar, he claims her for his own, to the dismay of his own wife, who, in turn, challenges Tasha in a fight to the death.",TNG
83,1,4,The Last Outpost,1990-10-31,6.3,3542,The Enterprise makes a confrontational first contact with the piratical Ferengi race as their two ships are ensnared by a presumed dead planet ready to judge them.,TNG
84,1,5,Where No One Has Gone Before,1990-10-17,7.5,3882,"Everyone accurately pegs a visiting propulsion scientist as a charlatan, but only Wesley Crusher recognizes his alien assistant as the real deal.",TNG
85,1,6,Lonely Among Us,1990-10-24,6.3,3211,"While distracted by two antithetical races applying for Federation membership, the Enterprise picks up a sentient entity that can alternately possess either man or machinery.",TNG
86,1,7,Justice,1990-11-28,6.0,3503,"On an alien planet, young Wesley Crusher commits a transgression - small by our standards but mandatorily punishable by death in theirs.",TNG
87,1,8,The Battle,1990-11-07,6.8,3251,"Beware Ferengi bearing gifts. Capt. Picard receives the Stargazer, a ship considered lost that he once commanded.",TNG
88,1,9,Hide And Q,1990-11-21,6.9,3409,"The Enterprise encounters Q again, and he tempts Riker by endowing him with the powers of the Q.",TNG
89,1,10,Haven,1990-11-14,6.2,3162,"While on a mission to a planet called Haven, Counselor Troi meets her husband to be, a marriage arranged by her father years before, as the Enterprise encounters a ship far deadlier than any combat could provide.",TNG
90,1,11,The Big Goodbye,1990-12-12,7.3,3411,Captain Picard and some of his crew are caught in a deadly trap in the holodeck as the result of a ship-wide scan from an alien race.,TNG
91,1,12,Datalore,1990-12-19,7.6,3538,"The Enterprise visits the planet where Data was created and discovers another android like him, but when he's assembled, he's not exactly like him.",TNG
92,1,13,Angel One,1991-01-09,5.7,3205,"Riker, Troi, Data and Yar beam down to a planet ruled by a matriarchal government in the hopes of locating a missing freighter crew.",TNG
93,1,14,11001001,1991-01-16,7.4,3468,The Enterprise docks at a starbase for repairs where it is commandeered by a race of technologically-linked aliens intent on using the vessel for their own purposes.,TNG
94,1,15,Too Short A Season,1990-12-05,6.1,3050,"The Enterprise transports an elderly Starfleet Admiral to negotiate a hostage crisis. When the Admiral takes a de-aging drug, he endangers both his life and the mission.",TNG
95,1,16,When The Bough Breaks,1991-01-30,6.4,3019,"A planet that was able to cloak itself for thousands of years suddenly reveals itself, with its inhabitants proposing peace. But, after initial negotiations, children of the Enterprise are kidnapped due to the infertility of the inhabitants.",TNG
96,1,17,Home Soil,1991-01-23,6.8,2989,"On Velara III, Geordi and Data discover a microscopic life form responsible for the death of an engineer stationed on the base.",TNG
97,1,18,Coming of Age,1991-02-06,7.1,3136,"Picard finds himself facing a strenuous test of his loyalty to Starfleet, one which the other members of the crew are struggling to cope with, whilst Wesley faces an equally challenging entrance exam at Starfleet Academy.",TNG
98,1,19,Heart of Glory,1991-02-27,7.2,3040,The Enterprise searches for answers as to why three Klingon warriors were the only survivors aboard a freighter just inside the Neutral Zone which was seemingly attacked by a Ferengi ship.,TNG
99,1,20,The Arsenal of Freedom,1991-02-20,7.1,3101,"The Enterprise encounters a planet long dead, but technical equipment still functions for the purpose of selling off its arsenal, along with self sufficiency.",TNG
100,1,21,Symbiosis,1991-02-13,6.9,3070,"The Enterprise encounters two neighboring cultures, one suffering from a plague, the other marketing a cure, and learns that nothing is as simple as it seems.",TNG
101,1,22,Skin Of Evil,1991-03-06,6.8,3430,"Counselor Troi is held captive on a deserted planet by a slick, black, oily, sentient and immortal puddle of evil.",TNG
102,1,23,We'll Always Have Paris,1991-03-13,6.5,2968,"A scientist's experiment in time goes awry, reuniting Picard with an old flame, now married to the scientist.",TNG
103,1,24,Conspiracy,1991-03-20,8.1,3622,"After diverting to a secret meeting with an old friend and some of Starfleet's finest commanders, Picard finds the Horatio blown to bits just hours after the meeting and he returns the Enterprise to Earth looking for answers.",TNG
104,1,25,The Neutral Zone,1991-03-27,7.4,3259,"While assigned to investigate missing outposts in the Neutral Zone, the Enterprise revives three cryogenically frozen people found aboard a wayward derelict Earth vessel.",TNG
105,2,1,The Child,1991-04-03,5.8,3303,"Deanna is impregnated by a unknown alien life-form, and Dr. Katherine Pulaski joins the Enterprise as the ship's new Chief Medical Officer.",TNG
106,2,2,Where Silence Has Lease,1991-04-10,7.0,3109,"The Enterprise encounters a mysterious void in space and when they move in closer to investigate further, it envelops them and they can't get out.",TNG
107,2,3,"Elementary, Dear Data",1991-04-17,8.1,3670,An attempt to provide Data with a challenging Sherlock Holmes holodeck RPG scenario backfires when its Prof. Moriarty character accidentally becomes self-aware.,TNG
108,2,4,The Outrageous Okona,1991-04-24,6.2,3169,"The Enterprise rescues the captain of a broken-down freighter, only to become involved in a dispute between feuding worlds--each demanding custody of their guest. Data seeks help from Guinan in understanding humor.",TNG
109,2,5,Loud As A Whisper,1991-05-01,6.5,2992,The crew ferries a deaf mediator to Solais V to negotiate an end to a civil war.,TNG
110,2,6,The Schizoid Man,1991-05-08,6.9,3009,A dying anti-social scientist unintentionally comes upon the perfect vessel in which to preserve his intellect and arrogant personality - Data.,TNG
111,2,7,Unnatural Selection,1991-05-15,6.5,2868,Enhanced DNA developments trigger an epidemic of rapid aging. Caught among its victims - Dr. Pulaski.,TNG
112,2,8,A Matter Of Honor,1991-05-22,8.0,3363,"Under an Officers Exchange Program, Riker serves aboard a Klingon ship, whose aging captain seeks an unwarranted bloody retaliation for suspected Enterprise treachery.",TNG
113,2,9,The Measure of a Man,1991-05-29,9.1,5277,"When Data resigns his commission rather than be dismantled for examination by an inadequately skilled scientist, a formal hearing is convened to determine whether Data is considered property without rights or is a sentient being.",TNG
114,2,10,The Dauphin,1991-06-05,6.2,3026,"Wesley falls for the young future leader of Daled IV, unaware just how dangerous the girl's protective and overly restrictive guardian can be.",TNG
115,2,11,Contagion,1991-06-12,7.6,3004,"Encountering the superior technology of a very ancient race creates system malfunctions for a doomed Federation starship, for the Enterprise, and for an eavesdropping Romulan warbird.",TNG
116,2,12,The Royale,1991-06-19,6.6,3177,"Worf, Data and Riker find themselves trapped in a recreation of a poorly written novel.",TNG
117,2,13,Time Squared,1991-07-10,7.5,3123,The Enterprise comes across its own shuttlecraft adrift in space - a duplicate - with an unconscious duplicate Capt. Picard inside.,TNG
118,2,14,The Icarus Factor,1991-07-17,6.2,2745,Riker's delight at being offered a command of the USS Aries turns to frustration when the man sent to prepare him for his mission is his estranged father; Worf's behavior leads Wesley to delve into Klingon tradition.,TNG
119,2,15,Pen Pals,1991-07-24,6.8,2939,"Data befriends an alien girl in distress, breaking the Prime Directive, while Wesley commands his first team.",TNG
120,2,16,Q Who,1991-08-07,8.9,4302,"Q tries to prove that Picard needs him as part of their crew by hurling the Enterprise 7,000 light years away where they encounter the Borg for the first time.",TNG
121,2,17,Samaritan Snare,1991-08-21,6.5,2804,"With Picard away for routine surgery, the Enterprise responds to an apparent distress call from a Pakled vessel.",TNG
122,2,18,Up The Long Ladder,1991-08-28,6.2,2974,"An antiquated distress signal leads to two lost 22nd century Earth colonies, each facing doom in different ways, one by fire, the other by prolonged cloning.",TNG
123,2,19,Manhunt,1991-09-04,6.1,2800,A midlife Betazoid condition renders Ambassador Troi hot on the hunt for romance and wedlock with Captain Picard - or any man.,TNG
124,2,20,The Emissary,1991-09-18,7.5,3093,"The Enterprise addresses the emergency of an old Klingon ship coming out of stasis and ready to fight the Federation. A half-Human/half Klingon emissary arrives to help, who once knew Worf intimately.",TNG
125,2,21,Peak Performance,1991-09-25,7.7,3038,The crew of the Enterprise participates in war games.,TNG
126,2,22,Shades of Gray,1991-10-02,3.4,3449,"When Commander Riker comes down with a dangerous alien infection after an away mission, the only way to treat it may be through reliving his memories.",TNG
127,3,1,Evolution,1991-10-09,6.5,2933,"Wesley's latest science project escapes the lab, threatening the Enterprise and an eminent scientist's life-long project.",TNG
128,3,2,The Ensigns of Command,1991-10-16,7.4,3140,"After 111 years of silence, an extremely litigious alien race asserts its agreed upon right to wipe out a Federation colony in its territory.",TNG
129,3,3,The Survivors,1991-10-23,7.7,3425,"The Enterprise responds to a distress call from Rana IV, a Federation colony that is under attack from an unknown alien ship. When they arrive, they find the entire surface of the planet destroyed, save for a single house and two occupants.",TNG
130,3,4,Who Watches The Watchers,1991-10-30,8.0,3739,A proto-Vulcan culture worships Captain Picard and prepares to offer Counselor Troi as a sacrifice.,TNG
131,3,5,The Bonding,1991-11-06,6.7,2884,"A startling surprise awaits the crew of the Enterprise when a mission costs the life of a crew member, who left her son behind.",TNG
132,3,6,Booby Trap,1991-11-13,7.4,2996,"The Enterprise triggers an ancient yet effective trap left by an extinct race, with a perfectly preserved derelict ship serving as cheese for Picard.",TNG
133,3,7,The Enemy,1991-11-27,7.8,3013,La Forge gets left behind on a storm-plagued planet when the rest of his team encounters a Romulan warrior.,TNG
134,3,8,The Price,1991-12-04,6.3,2822,"While the Enterprise hosts negotiations for control of a stable wormhole, Troi forms a personal relationship with an opposing negotiator, unaware of his true being.",TNG
135,3,9,The Vengeance Factor,1991-12-11,6.5,2714,"The Enterprise pursues a race of ""gatherers"" who continue to raid Federation outposts, unaware of the dangers lurking among them.",TNG
136,3,10,The Defector,1991-12-18,8.4,3469,"When a Romulan officer defects to the Federation with a warning of a impending invasion, Capt. Picard struggles to decide if he is to be believed.",TNG
137,3,11,The Hunted,1992-01-08,7.5,2953,"Investigating a planet applying for membership into the Federation, the crew of the Enterprise finds a group of inhabitants who used to be soldiers, but now fight for their very existence.",TNG
138,3,12,The High Ground,2007-09-29,6.8,2793,"While visiting a planet under civil war, Dr. Crusher is taken hostage by an opposing faction of the planet's ruling government.",TNG
139,3,13,Deja Q,1992-01-15,8.5,3614,"Much to Picard's displeasure, Q reappears on the Enterprise, claiming to have been ejected from the Q Continuum, and therefore, lost his powers.",TNG
140,3,14,A Matter of Perspective,1992-01-22,6.7,2808,"The widow of respected scientist Dr. Nel Apgar accuses Riker of seducing her and killing her husband. Rather than turn Riker over for unfavorable trial, the Enterprise reconstructs the facts.",TNG
141,3,15,Yesterday's Enterprise,1992-01-29,9.2,5066,"The Enterprise C enters the Enterprise D's time and space continuum, where they find Picard and crew in a constant state of war with the Klingons, and only Guinan knows it.",TNG
142,3,16,The Offspring,1992-02-05,8.5,3859,"After returning from a cybernetics conference to the Enterprise, Data creates his own ""child,"" much to the chagrin of his captain, and without regards to the ramifications with Starfleet.",TNG
143,3,17,Sins of The Father,1992-02-26,8.2,3156,"A Klingon commander comes aboard the Enterprise in an officer exchange program initiated by Starfleet, much to the chagrin of the crew.",TNG
144,3,18,Allegiance,1992-03-04,7.4,2873,Picard is kidnapped and held with three different aliens and meanwhile replaced with a replica as impostor captain.,TNG
145,3,19,Captain's Holiday,1992-03-11,7.2,3007,"After mediating a difficult trade agreement, Captain Picard is encouraged to take a much needed rest on a vacationing planet, where he's visited by a strange race from the future, in search of a dangerous weapon.",TNG
146,3,20,Tin Man,1992-03-18,7.2,2853,"The Enterprise reaches out to an alien being, while dancing around with the Romulans, who want to attack it in an act of vengeance.",TNG
147,3,21,Hollow Pursuits,1992-03-25,7.7,3022,"A shy member of the ""Enterprise"" crew becomes addicted to the holodeck, where relationships are easier than in real life, when his knowledge is needed in engineering.",TNG
148,3,22,The Most Toys,1992-04-01,7.6,3006,"When transporting a dangerous material to the Enterprise, Data is kidnapped and the crew is led to believe he is dead when the shuttlecraft he was piloting explodes enroute.",TNG
149,3,23,Sarek,1992-04-08,8.2,3225,Legendary Federation ambassador Sarek visits the Enterprise to conclude peace talks with a race called the Legarans. His arrival is accompanied with a rash of unusual emotional outbursts among the crew.,TNG
150,3,24,Ménage à Troi,1992-04-15,6.5,2709,"When Deanna's mother spurns advances made by a Ferengi Daimon, he takes it upon himself to kidnap the two of them, along with Commander Riker and steal them away aboard his ship.",TNG
151,3,25,Transfigurations,1992-04-22,6.9,2637,"The Enterprise finds a deserted planet where a ship has crashed, and, with it, the lone survivor with no memory, but extraordinary healing powers.",TNG
152,3,26,The Best of Both Worlds,1992-04-29,9.3,4899,"Responding to a distress call on one of the Federation's outer-most colonies, the Enterprise arrives...only to find a big hole in the ground where the town used to be, and discovers the Borg are behind the attack.",TNG
153,4,1,The Best of Both Worlds Part II,1992-05-06,9.2,4606,"Having absorbed Captain Picard and his knowledge, the Borg head for Earth, leaving Riker and the Enterprise desperate for an unanticipated way to defeat them.",TNG
154,4,2,Family,1994-04-13,8.3,3709,"After defeating the Borg, the crew of the Enterprise experiences shore leave in various ways. Captain Picard's return to his family's vineyard in France has some extraordinary repercussions.",TNG
155,4,3,Brothers,1994-04-20,7.7,3049,"After an accident aboard the Enterprise leaves one of its children in grave danger, Data commandeers the Enterprise, driven to take the ship to an unknown origin, where an interesting figure awaits.",TNG
156,4,4,Suddenly Human,1994-04-27,6.5,2780,"On a rescue mission to an alien shipwrecked training mission, they discover one of its trainees to be a human.",TNG
157,4,5,Remember Me,1994-05-04,7.8,3203,Dr. Crusher's fear of losing loved ones becomes real when her worries create an alternate reality.,TNG
